LabVIEW Measurement,,
Writer_Version,2,
Reader_Version,2,
Separator,Tab,
Decimal_Separator,.,
Multi_Headings,Yes,
X_Columns,Multi,
Time_Pref,Absolute,
Operator,RHAYESHUER,
Date,2/19/2020,
Time,08:40.0,
***End_of_Header***,,
,,
Channels,1,
Samples,7000,
Date,2/19/2020,
Time,08:40.0,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.00E+00,
Delta_X,0.001,
***End_of_Header***,,
X_Value,Voltage,Comment
0,4.976072,19.8 cm
0.001,4.978045,
0.002,4.975744,
0.003,4.974428,
0.004,4.976072,
0.005,4.978045,
0.006,4.97673,
0.007,4.973771,
0.008,4.973771,
0.009,4.975744,
0.01,4.976401,
0.011,4.974428,
0.012,4.972456,
0.013,4.974428,
0.014,4.97673,
0.015,4.9741,
0.016,4.971798,
0.017,4.974428,
0.018,4.976401,
0.019,4.976072,
0.02,4.973113,
0.021,4.975415,
0.022,4.977059,
0.023,4.975744,
0.024,4.9741,
0.025,4.9741,
0.026,4.977059,
0.027,4.977059,
0.028,4.975415,
0.029,4.97673,
0.03,4.979032,
0.031,4.979032,
0.032,4.977388,
0.033,4.975415,
0.034,4.978374,
0.035,4.97936,
0.036,4.979032,
0.037,4.977059,
0.038,4.977716,
0.039,4.979032,
0.04,4.980018,
0.041,4.97673,
0.042,4.976401,
0.043,4.978374,
0.044,4.979689,
0.045,4.979032,
0.046,4.977059,
0.047,4.976401,
0.048,4.977388,
0.049,4.977716,
0.05,4.975744,
0.051,4.973442,
0.052,4.976401,
0.053,4.978045,
0.054,4.975415,
0.055,4.975415,
0.056,4.976072,
0.057,4.975744,
0.058,4.975086,
0.059,4.9741,
0.06,4.975415,
0.061,4.977388,
0.062,4.97673,
0.063,4.974757,
0.064,4.974757,
0.065,4.975744,
0.066,4.97673,
0.067,4.975086,
0.068,4.975415,
0.069,4.979032,
0.07,4.979032,
0.071,4.977716,
0.072,4.977059,
0.073,4.978374,
0.074,4.978703,
0.075,4.976401,
0.076,4.97673,
0.077,4.977059,
0.078,4.979032,
0.079,4.978703,
0.08,4.975086,
0.081,4.976401,
0.082,4.97673,
0.083,4.97673,
0.084,4.975415,
0.085,4.975415,
0.086,4.976401,
0.087,4.977716,
0.088,4.975086,
0.089,4.973442,
0.09,4.973113,
0.091,4.976072,
0.092,4.9741,
0.093,4.972127,
0.094,4.973442,
0.095,4.976072,
0.096,4.975086,
0.097,4.973442,
0.098,4.972127,
0.099,4.973771,
0.1,4.976401,
0.101,4.972785,
0.102,4.972456,
0.103,4.975744,
0.104,4.976072,
0.105,4.975744,
0.106,4.973771,
0.107,4.975086,
0.108,4.977716,
0.109,4.976072,
0.11,4.975086,
0.111,4.976072,
0.112,4.977716,
0.113,4.977716,
0.114,4.975086,
0.115,4.973771,
0.116,4.976401,
0.117,4.975415,
0.118,4.973771,
0.119,4.975086,
0.12,4.977716,
0.121,4.976401,
0.122,4.975086,
0.123,4.973113,
0.124,4.974757,
0.125,4.975415,
0.126,4.972785,
0.127,4.971798,
0.128,4.9741,
0.129,4.975415,
0.13,4.975086,
0.131,4.972127,
0.132,4.971798,
0.133,4.974757,
0.134,4.973771,
0.135,4.972456,
0.136,4.973113,
0.137,4.974757,
0.138,4.975744,
0.139,4.973442,
0.14,4.971798,
0.141,4.973442,
0.142,4.975086,
0.143,4.9741,
